Designator	Part	Midx	Midy	Refx	Refy	Padx	Pady	TB	Rotation
U1	qnpn	1.381	1.941	1.381	1.941	1.381	1.941	Top	-42.0
U1	qnpn	0.932	2.440	0.932	2.440	0.932	2.440	Top	-114.0
U1	qnpn	1.268	3.022	1.268	3.022	1.268	3.022	Top	174.0
U1	qnpn	1.924	2.882	1.924	2.882	1.924	2.882	Top	102.0
U1	qnpn	1.995	2.214	1.995	2.214	1.995	2.214	Top	30.0
U12	do3	2.563	0.845	2.433	0.920	2.433	0.920	Top	-30.0
U13	cpoly104	0.399	0.630	0.526	0.551	0.271	0.710	Top	148.0
U14_2	r3	1.352	0.367	1.502	0.370	1.202	0.365	Top	-179.0
U14_2_1	r3	1.597	0.709	1.747	0.709	1.447	0.709	Top	180.0
U14_3	r3	1.337	0.511	1.487	0.511	1.187	0.511	Top	180.0
U14_4_1	r3	0.922	0.253	1.070	0.229	0.774	0.276	Top	171.0
U14_4_1_1	r3	1.377	0.237	1.527	0.237	1.227	0.237	Top	180.0
U15_1	cpoly104	0.714	0.527	0.789	0.657	0.639	0.397	Top	-120.0
U16_1	cel2	2.261	0.598	2.361	0.598	2.161	0.598	Top	180.0
U18	cel1	1.641	0.958	1.591	0.958	1.691	0.958	Top	0.0
U2	qpnp	1.198	1.849	1.198	1.849	1.198	1.849	Top	138.0
U2	qpnp	0.788	2.586	0.788	2.586	0.788	2.586	Top	66.0
U2	qpnp	1.362	3.204	1.362	3.204	1.362	3.204	Top	-6.0
U2	qpnp	2.127	2.849	2.127	2.849	2.127	2.849	Top	-78.0
U2	qpnp	2.026	2.012	2.026	2.012	2.026	2.012	Top	-150.0
U2_1	qpnp	1.304	1.581	1.304	1.581	1.304	1.581	Top	-20.0
U2_1	qpnp	0.612	2.364	0.612	2.364	0.612	2.364	Top	-92.0
U2_1	qpnp	1.097	3.302	1.097	3.302	1.097	3.302	Top	-164.0
U2_1	qpnp	2.138	3.131	2.138	3.131	2.138	3.131	Top	124.0
U2_1	qpnp	2.298	2.088	2.298	2.088	2.298	2.088	Top	52.0
U3	r3	1.318	2.200	1.408	2.319	1.228	2.080	Top	-127.0
U3	r3	1.158	2.580	1.300	2.531	1.016	2.629	Top	161.0
U3	r3	1.471	2.850	1.468	2.700	1.473	3.000	Top	89.0
U3	r3	1.824	2.636	1.680	2.592	1.967	2.680	Top	17.0
U3	r3	1.729	2.234	1.643	2.357	1.816	2.111	Top	-55.0
U3_1	r3	0.937	1.647	1.055	1.739	0.819	1.554	Top	-142.0
U3_1	r3	0.514	2.772	0.639	2.688	0.390	2.855	Top	146.0
U3_1	r3	1.454	3.521	1.412	3.377	1.495	3.665	Top	74.0
U3_1	r3	2.457	2.860	2.307	2.854	2.607	2.865	Top	2.0
U3_1	r3	2.138	1.701	2.086	1.842	2.189	1.560	Top	-70.0
U3_1_1	r3	0.812	1.776	0.930	1.868	0.694	1.684	Top	-142.0
U3_1_1	r3	0.599	2.930	0.723	2.847	0.474	3.014	Top	146.0
U3_1_1	r3	1.631	3.490	1.590	3.346	1.672	3.634	Top	74.0
U3_1_1	r3	2.482	2.681	2.332	2.676	2.632	2.687	Top	2.0
U3_1_1	r3	1.976	1.622	1.925	1.763	2.027	1.481	Top	-70.0
U3_1_1_1	r3	0.730	1.437	0.626	1.545	0.834	1.329	Top	-46.0
U3_1_1_1	r3	0.251	2.904	0.322	3.036	0.181	2.771	Top	-118.0
U3_1_1_1	r3	1.498	3.812	1.646	3.786	1.351	3.838	Top	170.0
U3_1_1_1	r3	2.748	2.907	2.768	2.759	2.727	3.056	Top	98.0
U3_1_1_1	r3	2.273	1.439	2.138	1.374	2.408	1.505	Top	26.0
U3_1_1_1_1	r3	1.210	1.294	1.174	1.148	1.247	1.439	Top	76.0
U3_1_1_1_1	r3	0.322	2.415	0.172	2.404	0.471	2.425	Top	4.0
U3_1_1_1_1	r3	1.055	3.594	0.998	3.733	1.111	3.455	Top	-68.0
U3_1_1_1_1	r3	2.403	3.262	2.518	3.358	2.288	3.165	Top	-140.0
U3_1_1_1_1	r3	2.504	1.876	2.631	1.797	2.376	1.956	Top	148.0
U3_1_1_1_1_1	r3	0.671	2.068	0.538	1.998	0.803	2.139	Top	28.0
U3_1_1_1_1_1	r3	0.833	3.155	0.725	3.259	0.941	3.051	Top	-44.0
U3_1_1_1_1_1	r3	1.940	3.331	2.006	3.466	1.874	3.196	Top	-116.0
U3_1_1_1_1_1	r3	2.425	2.362	2.573	2.341	2.276	2.383	Top	172.0
U3_1_1_1_1_1	r3	1.654	1.578	1.681	1.430	1.628	1.726	Top	100.0
U3_1_1_1_1_1	r3	1.544	1.537	1.570	1.389	1.518	1.684	Top	100.0
U3_1_1_1_2	r3	1.355	1.264	1.374	1.413	1.337	1.115	Top	-97.0
U3_1_1_1_2	r3	0.332	2.254	0.479	2.283	0.185	2.226	Top	-169.0
U3_1_1_1_2	r3	0.905	3.535	0.978	3.404	0.833	3.666	Top	119.0
U3_1_1_1_2	r3	2.301	3.385	2.198	3.276	2.403	3.495	Top	47.0
U3_1_1_1_2	r3	2.590	2.012	2.454	2.076	2.726	1.949	Top	-25.0
U5	chairy	1.077	2.199	1.195	2.292	0.959	2.107	Top	-142.0
U5	chairy	1.083	2.809	1.208	2.725	0.959	2.893	Top	146.0
U5	chairy	1.665	2.992	1.624	2.848	1.707	3.136	Top	74.0
U5	chairy	2.019	2.495	1.869	2.490	2.169	2.500	Top	2.0
U5	chairy	1.655	2.005	1.604	2.146	1.707	1.864	Top	-70.0
U6	cpoly104	0.734	1.934	0.601	1.863	0.866	2.004	Top	28.0
U6	cpoly104	0.725	3.054	0.617	3.158	0.833	2.950	Top	-44.0
U6	cpoly104	1.795	3.401	1.861	3.536	1.730	3.267	Top	-116.0
U6	cpoly104	2.453	2.508	2.601	2.487	2.304	2.528	Top	172.0
U6	cpoly104	1.802	1.596	1.828	1.449	1.776	1.744	Top	100.0
U8	qfet	1.030	0.456	1.030	0.456	1.030	0.456	Top	90.0
U9_1	dip8	1.828	0.368	1.678	0.218	1.678	0.218	Top	0.0
