Designator	Part	Midx	Midy	Refx	Refy	Padx	Pady	TB	Rotation
U1	qnpn	0.795	0.943	0.795	0.943	0.795	0.943	Top	0.0
U1_1	qnpn	0.436	0.641	0.436	0.641	0.436	0.641	Top	120.0
U1_2	qnpn	0.927	0.452	0.927	0.452	0.927	0.452	Top	-120.0
U2	r3	0.569	1.273	0.616	1.131	0.523	1.416	Top	108.0
U2_1	r3	0.729	1.289	0.761	1.143	0.698	1.436	Top	102.0
U2_2	r3	0.306	0.242	0.381	0.372	0.231	0.112	Top	-120.0
U2_3	r3	0.183	0.380	0.277	0.497	0.089	0.264	Top	-129.0
U2_4	r3	1.292	0.412	1.176	0.506	1.409	0.318	Top	-39.0
U2_5	r3	1.216	0.254	1.116	0.366	1.317	0.143	Top	-48.0
U3	chairy	0.535	0.868	0.603	0.734	0.467	1.002	Top	117.0
U3_1	chairy	0.631	0.454	0.713	0.580	0.550	0.328	Top	-123.0
U3_2	chairy	0.992	0.715	0.842	0.723	1.142	0.707	Top	-3.0
U6	do3	0.990	1.363	0.845	1.401	0.845	1.401	Top	-15.0
U7	cel1	0.655	0.144	0.668	0.193	0.642	0.096	Top	-105.0
U8	wobelisk	1.252	1.092	1.213	0.948	1.213	0.948	Top	75.0
