Designator	Part	Midx	Midy	Refx	Refy	Padx	Pady	TB	Rotation
U1	qnpn	0.608	1.138	0.608	1.138	0.608	1.138	Top	56.0
U1_1	qnpn	0.635	0.631	0.635	0.631	0.635	0.631	Top	128.0
U1_1_1	qnpn	0.635	0.631	0.635	0.631	0.635	0.631	Top	128.0
U1_2	qnpn	1.136	0.519	1.136	0.519	1.136	0.519	Top	-160.0
U1_2_1	qnpn	1.136	0.519	1.136	0.519	1.136	0.519	Top	-160.0
U1_3	qnpn	1.434	0.903	1.434	0.903	1.434	0.903	Top	-88.0
U1_3_1	qnpn	1.434	0.903	1.434	0.903	1.434	0.903	Top	-88.0
U1_4	qnpn	1.120	1.371	1.120	1.371	1.120	1.371	Top	-16.0
U1_4_1	qnpn	1.120	1.371	1.120	1.371	1.120	1.371	Top	-16.0
U1_5	qnpn	0.608	1.138	0.608	1.138	0.608	1.138	Top	56.0
U2	r3	0.208	1.136	0.352	1.095	0.064	1.177	Top	164.0
U2_1	r3	0.284	1.278	0.423	1.222	0.145	1.334	Top	158.0
U2_1_1	r3	0.402	0.366	0.499	0.481	0.306	0.251	Top	-130.0
U2_1_1_1	r3	0.402	0.366	0.499	0.481	0.306	0.251	Top	-130.0
U2_1_2	r3	1.316	0.216	1.236	0.343	1.395	0.089	Top	-58.0
U2_1_2_1	r3	1.316	0.216	1.236	0.343	1.395	0.089	Top	-58.0
U2_1_3	r3	1.777	0.980	1.632	0.944	1.923	1.016	Top	14.0
U2_1_3_1	r3	1.777	0.980	1.632	0.944	1.923	1.016	Top	14.0
U2_1_4	r3	1.153	1.722	1.142	1.573	1.163	1.872	Top	86.0
U2_1_4_1	r3	1.153	1.722	1.142	1.573	1.163	1.872	Top	86.0
U2_1_5	r3	0.284	1.278	0.423	1.222	0.145	1.334	Top	158.0
U2_2	r3	0.514	0.250	0.598	0.374	0.430	0.126	Top	-124.0
U2_2_1	r3	0.514	0.250	0.598	0.374	0.430	0.126	Top	-124.0
U2_3	r3	1.461	0.286	1.368	0.404	1.553	0.168	Top	-52.0
U2_3_1	r3	1.461	0.286	1.368	0.404	1.553	0.168	Top	-52.0
U2_4	r3	1.716	1.144	1.575	1.093	1.857	1.195	Top	20.0
U2_4_1	r3	1.716	1.144	1.575	1.093	1.857	1.195	Top	20.0
U2_5	r3	0.994	1.751	1.000	1.601	0.989	1.901	Top	92.0
U2_5_1	r3	0.994	1.751	1.000	1.601	0.989	1.901	Top	92.0
U2_6	r3	0.208	1.136	0.352	1.095	0.064	1.177	Top	164.0
U3	chairy	0.649	0.859	0.797	0.840	0.500	0.877	Top	173.0
U3_1	chairy	0.895	0.573	0.958	0.709	0.831	0.437	Top	-115.0
U3_1_1	chairy	0.895	0.573	0.958	0.709	0.831	0.437	Top	-115.0
U3_2	chairy	1.290	0.700	1.181	0.802	1.400	0.598	Top	-43.0
U3_2_1	chairy	1.290	0.700	1.181	0.802	1.400	0.598	Top	-43.0
U3_3	chairy	1.271	1.105	1.139	1.032	1.402	1.178	Top	29.0
U3_3_1	chairy	1.271	1.105	1.139	1.032	1.402	1.178	Top	29.0
U3_4	chairy	0.913	1.200	0.942	1.053	0.885	1.347	Top	101.0
U3_4_1	chairy	0.913	1.200	0.942	1.053	0.885	1.347	Top	101.0
U3_5	chairy	0.649	0.859	0.797	0.840	0.500	0.877	Top	173.0
U4	wobelisk	0.636	1.733	0.752	1.639	0.752	1.639	Top	141.0
U4_1	wobelisk	0.636	1.733	0.752	1.639	0.752	1.639	Top	141.0
U6	do3	0.303	1.590	0.225	1.461	0.225	1.461	Top	59.0
U6_1	do3	0.303	1.590	0.225	1.461	0.225	1.461	Top	59.0
U9	cel1	1.646	0.471	1.600	0.490	1.692	0.451	Top	-23.0
U9_1	cel1	1.646	0.471	1.600	0.490	1.692	0.451	Top	-23.0
