Designator	Part	Midx	Midy	Refx	Refy	Padx	Pady	TB	Rotation
U1	dip8	1.276	0.892	1.070	0.844	1.070	0.844	Top	-32.0
U10	cpoly103	1.167	0.579	1.234	0.544	1.101	0.614	Top	152.0
U10_1	cpoly103	1.167	0.579	1.234	0.544	1.101	0.614	Top	152.0
U11	qnpn	0.887	1.275	0.887	1.275	0.887	1.275	Top	-40.0
U11_1	qnpn	0.887	1.275	0.887	1.275	0.887	1.275	Top	-40.0
U12	r3	1.727	0.881	1.590	0.820	1.864	0.942	Top	24.0
U12_1	r3	0.992	1.091	0.863	1.013	1.120	1.168	Top	31.0
U12_1_1	r3	0.992	1.091	0.863	1.013	1.120	1.168	Top	31.0
U12_2	r3	1.727	0.881	1.590	0.820	1.864	0.942	Top	24.0
U13	chairy	3.256	0.936	3.379	0.849	3.133	1.022	Top	145.0
U13_1	chairy	3.256	0.936	3.379	0.849	3.133	1.022	Top	145.0
U14	qpnp	0.974	1.485	0.974	1.485	0.974	1.485	Top	-48.0
U14_1	qpnp	1.299	1.568	1.299	1.568	1.299	1.568	Top	-48.0
U14_1_1	qpnp	1.299	1.568	1.299	1.568	1.299	1.568	Top	-48.0
U14_2	qpnp	0.588	1.183	0.588	1.183	0.588	1.183	Top	8.0
U14_2_1	qpnp	0.588	1.183	0.588	1.183	0.588	1.183	Top	8.0
U14_3	qpnp	0.487	1.595	0.487	1.595	0.487	1.595	Top	-37.0
U14_3_1	qpnp	0.487	1.595	0.487	1.595	0.487	1.595	Top	-37.0
U14_4	qpnp	0.974	1.485	0.974	1.485	0.974	1.485	Top	-48.0
U15	wobelisk	0.197	1.208	0.223	1.061	0.223	1.061	Top	100.0
U15_2	wobelisk	0.197	1.208	0.223	1.061	0.223	1.061	Top	100.0
U16	r3	0.511	0.663	0.591	0.536	0.432	0.791	Top	122.0
U16_1	r3	0.590	0.771	0.669	0.644	0.510	0.898	Top	122.0
U16_1_1	r3	0.590	0.771	0.669	0.644	0.510	0.898	Top	122.0
U16_2	r3	0.333	0.512	0.317	0.363	0.349	0.661	Top	84.0
U16_2_1	r3	0.333	0.512	0.317	0.363	0.349	0.661	Top	84.0
U16_3	r3	0.511	0.663	0.591	0.536	0.432	0.791	Top	122.0
U17	do3	1.396	1.769	1.496	1.657	1.496	1.657	Top	132.0
U17_1	do3	1.396	1.769	1.496	1.657	1.496	1.657	Top	132.0
U19	cel1	2.058	1.354	2.106	1.368	2.010	1.340	Top	-164.0
U19_1	cel1	2.580	1.496	2.533	1.479	2.627	1.513	Top	20.0
U19_1_1	cel1	2.580	1.496	2.533	1.479	2.627	1.513	Top	20.0
U19_2	cel1	2.058	1.354	2.106	1.368	2.010	1.340	Top	-164.0
U1_1	dip8	1.276	0.892	1.070	0.844	1.070	0.844	Top	-32.0
U2	dip14	2.425	1.115	2.672	1.342	2.672	1.342	Top	-164.0
U2_1	dip14	2.425	1.115	2.672	1.342	2.672	1.342	Top	-164.0
U3	r3	1.712	1.211	1.773	1.074	1.651	1.348	Top	114.0
U3_1	r3	2.291	0.618	2.297	0.469	2.286	0.768	Top	92.0
U3_1_1	r3	1.777	0.742	1.922	0.784	1.633	0.701	Top	-164.0
U3_1_1_1	r3	1.777	0.742	1.922	0.784	1.633	0.701	Top	-164.0
U3_1_2	r3	0.967	0.496	0.855	0.596	1.078	0.395	Top	-42.0
U3_1_2_1	r3	0.967	0.496	0.855	0.596	1.078	0.395	Top	-42.0
U3_1_3	r3	0.852	0.747	0.709	0.793	0.995	0.701	Top	-18.0
U3_1_3_1	r3	0.792	0.913	0.650	0.959	0.935	0.866	Top	-18.0
U3_1_3_1_1	r3	0.674	1.503	0.588	1.380	0.761	1.626	Top	55.0
U3_1_3_1_1_1	r3	0.674	1.503	0.588	1.380	0.761	1.626	Top	55.0
U3_1_3_1_2	r3	0.792	0.913	0.650	0.959	0.935	0.866	Top	-18.0
U3_1_3_2	r3	0.852	0.747	0.709	0.793	0.995	0.701	Top	-18.0
U3_1_4	r3	2.291	0.618	2.297	0.469	2.286	0.768	Top	92.0
U3_2	r3	1.712	1.211	1.773	1.074	1.651	1.348	Top	114.0
U4	cel1	1.932	0.542	1.946	0.494	1.918	0.590	Top	106.0
U4_1	cel1	1.584	0.478	1.598	0.430	1.570	0.526	Top	106.0
U4_1_1	cel1	1.584	0.478	1.598	0.430	1.570	0.526	Top	106.0
U4_2	cel1	1.932	0.542	1.946	0.494	1.918	0.590	Top	106.0
U6	qnpn	2.766	0.559	2.766	0.559	2.766	0.559	Top	-108.0
U6_1	qnpn	2.766	0.559	2.766	0.559	2.766	0.559	Top	-108.0
U7	r3	2.332	1.676	2.327	1.826	2.337	1.526	Top	-88.0
U7_1	r3	2.962	0.753	2.812	0.753	3.112	0.753	Top	0.0
U7_1_1	r3	2.512	0.773	2.612	0.884	2.411	0.661	Top	-132.0
U7_1_1_1	r3	2.512	0.773	2.612	0.884	2.411	0.661	Top	-132.0
U7_1_2	r3	2.059	0.791	2.115	0.652	2.003	0.930	Top	112.0
U7_1_2_1	r3	2.059	0.791	2.115	0.652	2.003	0.930	Top	112.0
U7_1_3	r3	3.109	0.507	2.960	0.526	3.258	0.489	Top	-7.0
U7_1_3_1	r3	3.109	0.507	2.960	0.526	3.258	0.489	Top	-7.0
U7_1_4	r3	2.962	0.753	2.812	0.753	3.112	0.753	Top	0.0
U7_2	r3	2.884	0.887	3.034	0.887	2.734	0.887	Top	180.0
U7_2_1	r3	2.849	1.234	2.808	1.378	2.890	1.090	Top	-74.0
U7_2_1_1	r3	2.149	1.619	2.079	1.752	2.220	1.487	Top	-62.0
U7_2_1_1_1	r3	2.149	1.619	2.079	1.752	2.220	1.487	Top	-62.0
U7_2_1_2	r3	2.849	1.234	2.808	1.378	2.890	1.090	Top	-74.0
U7_2_2	r3	2.884	0.887	3.034	0.887	2.734	0.887	Top	180.0
U7_3	r3	3.034	1.549	2.888	1.585	3.179	1.513	Top	-14.0
U7_3_1	r3	3.034	1.549	2.888	1.585	3.179	1.513	Top	-14.0
U7_4	r3	1.522	1.243	1.466	1.382	1.578	1.104	Top	-68.0
U7_4_1	r3	1.310	1.235	1.189	1.323	1.431	1.147	Top	-36.0
U7_4_1_1	r3	1.310	1.235	1.189	1.323	1.431	1.147	Top	-36.0
U7_4_2	r3	1.782	1.516	1.716	1.651	1.848	1.381	Top	-64.0
U7_4_2_1	r3	1.782	1.516	1.716	1.651	1.848	1.381	Top	-64.0
U7_4_3	r3	1.522	1.243	1.466	1.382	1.578	1.104	Top	-68.0
U7_5	r3	2.332	1.676	2.327	1.826	2.337	1.526	Top	-88.0
U8	thumpot	3.053	1.278	3.093	1.187	3.012	1.370	Top	114.0
U8_1	thumpot	3.053	1.278	3.093	1.187	3.012	1.370	Top	114.0
