Designator	Part	Midx	Midy	Refx	Refy	Padx	Pady	TB	Rotation
22k	r3	4.320	1.362	4.393	1.494	4.247	1.231	Top	-119.0
22k_1	r3	3.971	1.391	3.935	1.536	4.007	1.245	Top	-76.0
22k_1_1	r3	3.847	1.349	3.811	1.495	3.884	1.204	Top	-76.0
22k_1_1_1	r3	3.398	1.671	3.250	1.645	3.545	1.697	Top	10.0
22k_1_1_1_1	r3	3.820	1.674	3.670	1.671	3.970	1.676	Top	1.0
22k_1_1_1_1_1	r3	3.820	1.674	3.670	1.671	3.970	1.676	Top	1.0
22k_1_1_1_2	r3	3.398	1.671	3.250	1.645	3.545	1.697	Top	10.0
22k_1_1_2	r3	3.847	1.349	3.811	1.495	3.884	1.204	Top	-76.0
22k_1_2	r3	3.728	1.320	3.692	1.465	3.764	1.174	Top	-76.0
22k_1_2_1	r3	3.624	1.001	3.774	1.001	3.474	1.001	Top	-180.0
22k_1_2_1_1	r3	3.624	1.001	3.774	1.001	3.474	1.001	Top	-180.0
22k_1_2_2	r3	3.728	1.320	3.692	1.465	3.764	1.174	Top	-76.0
22k_1_3	r3	3.971	1.391	3.935	1.536	4.007	1.245	Top	-76.0
22k_2	r3	4.320	1.362	4.393	1.494	4.247	1.231	Top	-119.0
U1	dip14	2.125	1.088	1.818	0.954	1.818	0.954	Top	-3.0
U10	r3	1.085	1.796	0.969	1.890	1.202	1.701	Top	-39.0
U10_1	r3	0.427	1.385	0.466	1.530	0.388	1.240	Top	-105.0
U10_1_1	r3	0.427	1.385	0.466	1.530	0.388	1.240	Top	-105.0
U10_2	r3	0.816	1.135	0.933	1.041	0.700	1.229	Top	141.0
U10_2_1	r3	0.816	1.135	0.933	1.041	0.700	1.229	Top	141.0
U10_3	r3	0.749	1.024	0.866	0.929	0.633	1.118	Top	141.0
U10_3_1	r3	0.749	1.024	0.866	0.929	0.633	1.118	Top	141.0
U10_4	r3	1.085	1.796	0.969	1.890	1.202	1.701	Top	-39.0
U11	cel1	0.299	1.545	0.268	1.506	0.331	1.584	Top	51.0
U11_1	cel1	0.299	1.545	0.268	1.506	0.331	1.584	Top	51.0
U12	cpoly103	2.306	1.508	2.231	1.512	2.381	1.504	Top	-3.0
U12_1	cpoly102	3.521	1.560	3.595	1.564	3.446	1.556	Top	-177.0
U12_1_1	cpoly102	3.016	1.420	3.086	1.445	2.946	1.394	Top	-160.0
U12_1_1_1	cpoly102	3.016	1.420	3.086	1.445	2.946	1.394	Top	-160.0
U12_1_2	cpoly102	3.521	1.560	3.595	1.564	3.446	1.556	Top	-177.0
U12_2	cpoly103	1.938	0.564	1.897	0.627	1.979	0.502	Top	-57.0
U12_2_1	cpoly103	1.938	0.564	1.897	0.627	1.979	0.502	Top	-57.0
U12_3	cpoly103	2.902	0.624	2.914	0.550	2.891	0.699	Top	99.0
U12_3_1	cpoly103	2.902	0.624	2.914	0.550	2.891	0.699	Top	99.0
U12_4	cpoly103	2.306	1.508	2.231	1.512	2.381	1.504	Top	-3.0
U14	cpoly102	0.529	1.193	0.495	1.127	0.563	1.260	Top	63.0
U14_1	cpoly102	1.059	1.643	1.117	1.595	1.000	1.690	Top	141.0
U14_1_1	cpoly102	1.059	1.643	1.117	1.595	1.000	1.690	Top	141.0
U14_2	cpoly102	0.529	1.193	0.495	1.127	0.563	1.260	Top	63.0
U15	wobelisk	2.868	1.712	2.878	1.562	2.878	1.562	Top	94.0
U15_1	wobelisk	2.868	1.712	2.878	1.562	2.878	1.562	Top	94.0
U16	do3	2.049	0.840	2.198	0.832	2.198	0.832	Top	177.0
U16_1	do3	2.049	0.840	2.198	0.832	2.198	0.832	Top	177.0
U17	do3	3.230	1.879	3.379	1.871	3.379	1.871	Top	177.0
U17_1	do3	3.230	1.879	3.379	1.871	3.379	1.871	Top	177.0
U18	cpoly103	1.375	0.961	1.319	0.911	1.431	1.011	Top	42.0
U18_1	cpoly103	1.375	0.961	1.319	0.911	1.431	1.011	Top	42.0
U1_1	dip14	2.125	1.088	1.818	0.954	1.818	0.954	Top	-3.0
U2	dip14	1.060	1.267	1.372	1.145	1.372	1.145	Top	132.0
U20	wnonob	1.970	1.515	1.899	1.444	2.041	1.586	Top	45.0
U20_1	wnonob	1.970	1.515	1.899	1.444	2.041	1.586	Top	45.0
U21	chaihairy	1.453	0.642	1.427	0.494	1.480	0.789	Top	80.0
U21_1	chaihairy	1.453	0.642	1.427	0.494	1.480	0.789	Top	80.0
U2_1	dip14	3.309	1.214	3.560	1.437	3.560	1.437	Top	-165.0
U2_1_1	dip14	3.309	1.214	3.560	1.437	3.560	1.437	Top	-165.0
U2_2	dip14	1.060	1.267	1.372	1.145	1.372	1.145	Top	132.0
U3	do3	1.592	1.334	1.452	1.388	1.452	1.388	Top	-21.0
U3_1	do3	1.592	1.334	1.452	1.388	1.452	1.388	Top	-21.0
U4	r3	1.658	0.958	1.650	0.808	1.665	1.108	Top	87.0
U4_1	r3	1.096	0.664	0.949	0.695	1.242	0.633	Top	-12.0
U4_1_1	r3	1.100	0.847	1.222	0.759	0.979	0.935	Top	144.0
U4_1_1_1	r3	0.687	0.898	0.813	0.816	0.561	0.980	Top	147.0
U4_1_1_1_1	r3	0.749	1.568	0.844	1.685	0.655	1.452	Top	-129.0
U4_1_1_1_1_1	r3	0.749	1.568	0.844	1.685	0.655	1.452	Top	-129.0
U4_1_1_1_2	r3	0.602	1.644	0.633	1.790	0.571	1.497	Top	-102.0
U4_1_1_1_2_1	r3	0.602	1.644	0.633	1.790	0.571	1.497	Top	-102.0
U4_1_1_1_3	r3	0.687	0.898	0.813	0.816	0.561	0.980	Top	147.0
U4_1_1_2	r3	0.801	0.565	0.822	0.714	0.780	0.417	Top	-98.0
U4_1_1_2_1	r3	0.801	0.565	0.822	0.714	0.780	0.417	Top	-98.0
U4_1_1_3	r3	0.785	1.835	0.651	1.903	0.918	1.767	Top	-27.0
U4_1_1_3_1	r3	0.785	1.835	0.651	1.903	0.918	1.767	Top	-27.0
U4_1_1_4	r3	1.100	0.847	1.222	0.759	0.979	0.935	Top	144.0
U4_1_2	r3	1.096	0.664	0.949	0.695	1.242	0.633	Top	-12.0
U4_2	r3	1.658	0.958	1.650	0.808	1.665	1.108	Top	87.0
U5	qnpn	1.575	1.483	1.575	1.483	1.575	1.483	Top	-21.0
U5_1	qnpn	2.619	1.439	2.619	1.439	2.619	1.439	Top	-5.0
U5_1_1	qnpn	2.324	0.513	2.324	0.513	2.324	0.513	Top	-28.0
U5_1_1_1	qnpn	2.324	0.513	2.324	0.513	2.324	0.513	Top	-28.0
U5_1_2	qnpn	2.619	1.439	2.619	1.439	2.619	1.439	Top	-5.0
U5_2	qnpn	2.563	0.763	2.563	0.763	2.563	0.763	Top	33.0
U5_2_1	qnpn	2.563	0.763	2.563	0.763	2.563	0.763	Top	33.0
U5_3	qnpn	1.575	1.483	1.575	1.483	1.575	1.483	Top	-21.0
U6	r3	1.677	1.700	1.533	1.742	1.821	1.659	Top	-16.0
U6_1	r3	1.340	1.588	1.465	1.670	1.214	1.506	Top	-147.0
U6_1_1	r3	1.392	1.285	1.292	1.397	1.492	1.174	Top	-48.0
U6_1_1_1	r3	1.392	1.285	1.292	1.397	1.492	1.174	Top	-48.0
U6_1_2	r3	1.264	1.835	1.148	1.929	1.381	1.740	Top	-39.0
U6_1_2_1	r3	2.252	1.384	2.402	1.376	2.103	1.392	Top	177.0
U6_1_2_1_1	r3	1.802	0.518	1.727	0.648	1.877	0.388	Top	-60.0
U6_1_2_1_1_1	r3	1.802	0.518	1.727	0.648	1.877	0.388	Top	-60.0
U6_1_2_1_2	r3	2.252	1.384	2.402	1.376	2.103	1.392	Top	177.0
U6_1_2_2	r3	1.264	1.835	1.148	1.929	1.381	1.740	Top	-39.0
U6_1_3	r3	1.340	1.588	1.465	1.670	1.214	1.506	Top	-147.0
U6_2	r3	2.310	1.655	2.450	1.601	2.170	1.709	Top	159.0
U6_2_1	r3	2.253	0.141	2.114	0.197	2.392	0.085	Top	-22.0
U6_2_1_1	r3	2.015	0.296	1.890	0.215	2.141	0.378	Top	33.0
U6_2_1_1_1	r3	2.015	0.296	1.890	0.215	2.141	0.378	Top	33.0
U6_2_1_2	r3	2.253	0.141	2.114	0.197	2.392	0.085	Top	-22.0
U6_2_2	r3	2.695	1.774	2.693	1.624	2.698	1.924	Top	89.0
U6_2_2_1	r3	2.695	1.774	2.693	1.624	2.698	1.924	Top	89.0
U6_2_3	r3	2.310	1.655	2.450	1.601	2.170	1.709	Top	159.0
U6_3	r3	2.656	0.503	2.674	0.354	2.638	0.652	Top	97.0
U6_3_1	r3	2.792	0.967	2.774	1.116	2.811	0.818	Top	-83.0
U6_3_1_1	r3	2.791	0.531	2.768	0.679	2.814	0.383	Top	-81.0
U6_3_1_1_1	r3	3.173	0.607	3.026	0.578	3.321	0.635	Top	11.0
U6_3_1_1_1_1	r3	3.180	0.747	3.031	0.734	3.330	0.760	Top	5.0
U6_3_1_1_1_1_1	r3	3.598	0.868	3.448	0.865	3.748	0.870	Top	1.0
U6_3_1_1_1_1_1_1	r3	3.598	0.868	3.448	0.865	3.748	0.870	Top	1.0
U6_3_1_1_1_1_2	r3	3.163	0.880	3.014	0.867	3.313	0.893	Top	5.0
U6_3_1_1_1_1_2_1	r3	3.163	0.880	3.014	0.867	3.313	0.893	Top	5.0
U6_3_1_1_1_1_3	r3	2.904	1.065	2.924	0.916	2.883	1.213	Top	98.0
U6_3_1_1_1_1_3_1	r3	2.904	1.065	2.924	0.916	2.883	1.213	Top	98.0
U6_3_1_1_1_1_4	r3	3.180	0.747	3.031	0.734	3.330	0.760	Top	5.0
U6_3_1_1_1_2	r3	3.173	0.607	3.026	0.578	3.321	0.635	Top	11.0
U6_3_1_1_2	r3	3.627	0.734	3.477	0.732	3.777	0.737	Top	1.0
U6_3_1_1_2_1	r3	3.627	0.734	3.477	0.732	3.777	0.737	Top	1.0
U6_3_1_1_3	r3	2.791	0.531	2.768	0.679	2.814	0.383	Top	-81.0
U6_3_1_2	r3	2.792	0.967	2.774	1.116	2.811	0.818	Top	-83.0
U6_3_2	r3	2.222	0.713	2.332	0.816	2.113	0.611	Top	-137.0
U6_3_2_1	r3	2.222	0.713	2.332	0.816	2.113	0.611	Top	-137.0
U6_3_3	r3	2.656	0.503	2.674	0.354	2.638	0.652	Top	97.0
U6_4	r3	1.677	1.700	1.533	1.742	1.821	1.659	Top	-16.0
U7	cel1	4.039	1.067	3.996	1.093	4.081	1.040	Top	-32.0
U7_1	cel1	3.096	1.672	3.094	1.622	3.097	1.722	Top	88.0
U7_1_1	cel1	3.096	1.672	3.094	1.622	3.097	1.722	Top	88.0
U7_2	cel1	4.039	1.067	3.996	1.093	4.081	1.040	Top	-32.0
U8_1	thumpot	2.654	0.193	2.554	0.202	2.754	0.184	Top	-5.0
U8_1_1	thumpot	2.654	0.193	2.554	0.202	2.754	0.184	Top	-5.0
U9_1	chairy	2.621	1.119	2.653	1.266	2.590	0.973	Top	-102.0
U9_1_1	chairy	2.621	1.119	2.653	1.266	2.590	0.973	Top	-102.0
