Designator	Part	Midx	Midy	Refx	Refy	Padx	Pady	TB	Rotation
U1	dip14	2.281	0.879	1.981	0.729	1.981	0.729	Top	0.0
U10	r3	1.372	1.392	1.474	1.282	1.270	1.501	Top	133.0
U10_1	r3	1.799	1.389	1.867	1.255	1.731	1.523	Top	117.0
U10_1_1	r3	1.790	0.874	1.790	0.724	1.790	1.024	Top	90.0
U10_1_1_1	r3	1.527	0.264	1.588	0.127	1.466	0.401	Top	114.0
U10_1_1_1_1	r3	1.527	0.264	1.588	0.127	1.466	0.401	Top	114.0
U10_1_1_1_1_1	r3	4.074	0.564	4.194	0.654	3.954	0.474	Top	-143.0
U10_1_1_1_1_1_1	r3	4.074	0.564	4.194	0.654	3.954	0.474	Top	-143.0
U10_1_1_1_1_2	r3	2.387	0.331	2.351	0.476	2.423	0.185	Top	-76.0
U10_1_1_1_1_2_1	r3	2.387	0.331	2.351	0.476	2.423	0.185	Top	-76.0
U10_1_1_1_2_1	r3	2.142	1.175	2.292	1.175	1.992	1.175	Top	180.0
U10_1_1_1_2_1_1	r3	2.142	1.175	2.292	1.175	1.992	1.175	Top	180.0
U10_1_1_2	r3	1.790	0.874	1.790	0.724	1.790	1.024	Top	90.0
U10_1_2	r3	3.057	1.121	2.909	1.145	3.205	1.098	Top	-9.0
U10_1_2_1	r3	3.057	1.121	2.909	1.145	3.205	1.098	Top	-9.0
U10_1_3	r3	3.302	1.334	3.435	1.263	3.170	1.404	Top	152.0
U10_1_3_1	r3	3.302	1.334	3.435	1.263	3.170	1.404	Top	152.0
U10_1_4	r3	1.799	1.389	1.867	1.255	1.731	1.523	Top	117.0
U10_2	r3	1.642	0.874	1.642	1.024	1.642	0.724	Top	-90.0
U10_2_1	r3	3.191	1.217	3.328	1.156	3.054	1.279	Top	156.0
U10_2_1_1	r3	3.191	1.217	3.328	1.156	3.054	1.279	Top	156.0
U10_2_2	r3	1.642	0.874	1.642	1.024	1.642	0.724	Top	-90.0
U10_3	r3	1.372	1.392	1.474	1.282	1.270	1.501	Top	133.0
U11	cel1	1.965	1.473	1.991	1.430	1.940	1.516	Top	121.0
U11_1	cel1	3.050	1.528	3.077	1.570	3.024	1.486	Top	-122.0
U11_1_1	cel1	3.307	0.729	3.262	0.708	3.352	0.750	Top	25.0
